gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3798499577,12b18c27-d292-4aa6-a23e-246e14b0a443,mohonk:dsrc:grasslands:12297,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus coronaria,,SPECIES,Malus coronaria (L.) Mill.,Malus coronaria,,US,,New York,PRESENT,,90c5397a-6f94-4396-8e9c-cdcf6f59ef69,41.75119,-74.12992,,,,,,,2021-06-25,25,6,2021,3001166,3001166,HUMAN_OBSERVATION,,,,,,,CC0_1_0,,Megan Napoli;Christopher Chinkan;Ralph Green,,,2024-01-26 5:42,,
3798499526,12b18c27-d292-4aa6-a23e-246e14b0a443,mohonk:dsrc:grasslands:24210,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus coronaria,,SPECIES,Malus coronaria (L.) Mill.,Malus coronaria,,US,,New York,PRESENT,,90c5397a-6f94-4396-8e9c-cdcf6f59ef69,41.79752,-74.12618,,,,,,,2019-05-24,24,5,2019,3001166,3001166,HUMAN_OBSERVATION,,,,,,,CC0_1_0,,Catherine T. Ferarri;Megan Napoli,,,2024-01-26 5:42,,
3798499157,12b18c27-d292-4aa6-a23e-246e14b0a443,mohonk:dsrc:grasslands:12506,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus coronaria,,SPECIES,Malus coronaria (L.) Mill.,Malus coronaria,,US,,New York,PRESENT,,90c5397a-6f94-4396-8e9c-cdcf6f59ef69,41.75119,-74.12992,,,,,,,2021-08-17,17,8,2021,3001166,3001166,HUMAN_OBSERVATION,,,,,,,CC0_1_0,,Megan Napoli;Ralph Green;Rayna Berger,,,2024-01-26 5:42,,
3798499069,12b18c27-d292-4aa6-a23e-246e14b0a443,mohonk:dsrc:grasslands:36541,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus coronaria,,SPECIES,Malus coronaria (L.) Mill.,Malus coronaria,,US,,New York,PRESENT,,90c5397a-6f94-4396-8e9c-cdcf6f59ef69,41.74472,-74.12242,,,,,,,2018-06-29,29,6,2018,3001166,3001166,HUMAN_OBSERVATION,,,,,,,CC0_1_0,,Catherine T. Ferarri;Miriam Quintana Vargas,,,2024-01-26 5:42,,
3798498904,12b18c27-d292-4aa6-a23e-246e14b0a443,mohonk:dsrc:grasslands:9162,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus coronaria,,SPECIES,Malus coronaria (L.) Mill.,Malus coronaria,,US,,New York,PRESENT,,90c5397a-6f94-4396-8e9c-cdcf6f59ef69,41.75245,-74.15016,,,,,,,2018-05-24,24,5,2018,3001166,3001166,HUMAN_OBSERVATION,,,,,,,CC0_1_0,,Catherine T. Ferarri;Jacob C. Erle,,,2024-01-26 5:42,,
3798498865,12b18c27-d292-4aa6-a23e-246e14b0a443,mohonk:dsrc:grasslands:24419,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus coronaria,,SPECIES,Malus coronaria (L.) Mill.,Malus coronaria,,US,,New York,PRESENT,,90c5397a-6f94-4396-8e9c-cdcf6f59ef69,41.79716,-74.12499,,,,,,,2018-07-19,19,7,2018,3001166,3001166,HUMAN_OBSERVATION,,,,,,,CC0_1_0,,Catherine T. Ferarri;Jacob C. Erle,,,2024-01-26 5:42,,
3798498378,12b18c27-d292-4aa6-a23e-246e14b0a443,mohonk:dsrc:grasslands:36750,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus coronaria,,SPECIES,Malus coronaria (L.) Mill.,Malus coronaria,,US,,New York,PRESENT,,90c5397a-6f94-4396-8e9c-cdcf6f59ef69,41.74495,-74.1222,,,,,,,2018-06-28,28,6,2018,3001166,3001166,HUMAN_OBSERVATION,,,,,,,CC0_1_0,,Catherine T. Ferarri;Jacob C. Erle,,,2024-01-26 5:42,,
3798498285,12b18c27-d292-4aa6-a23e-246e14b0a443,mohonk:dsrc:grasslands:22120,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus coronaria,,SPECIES,Malus coronaria (L.) Mill.,Malus coronaria,,US,,New York,PRESENT,,90c5397a-6f94-4396-8e9c-cdcf6f59ef69,41.79379,-74.12618,,,,,,,2019-06-19,19,6,2019,3001166,3001166,HUMAN_OBSERVATION,,,,,,,CC0_1_0,,Catherine T. Ferarri;Penelope Adler-Colvin,,,2024-01-26 5:42,,
3798497804,12b18c27-d292-4aa6-a23e-246e14b0a443,mohonk:dsrc:grasslands:9371,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus coronaria,,SPECIES,Malus coronaria (L.) Mill.,Malus coronaria,,US,,New York,PRESENT,,90c5397a-6f94-4396-8e9c-cdcf6f59ef69,41.75175,-74.15,,,,,,,2017-08-29,29,8,2017,3001166,3001166,HUMAN_OBSERVATION,,,,,,,CC0_1_0,,Catherine T. Ferarri;Brooke Peterson,,,2024-01-26 5:42,,
3798497675,12b18c27-d292-4aa6-a23e-246e14b0a443,mohonk:dsrc:grasslands:24837,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus coronaria,,SPECIES,Malus coronaria (L.) Mill.,Malus coronaria,,US,,New York,PRESENT,,90c5397a-6f94-4396-8e9c-cdcf6f59ef69,41.79622,-74.1279,,,,,,,2018-07-25,25,7,2018,3001166,3001166,HUMAN_OBSERVATION,,,,,,,CC0_1_0,,Catherine T. Ferarri;Jacob C. Erle,,,2024-01-26 5:42,,
