"Sample.name"	"Accession"	"Pop"	"Pop name"	"tree location"
"C064_TuPt-0"	"C-071-003-000-23A"	"C-071"	"Turkey Point"	"42°41'56.98""N 80°19'54.39""W"
"C068_Turk-06"	"C-071-006-000-23A"	"C-071"	"Turkey Point"	"42°41'55.54""N 80°19'53.73""W"
"C082_Bt-MC0"	"C-072-001-000-23A"	"C-072"	"Berry Tract"	"43°17'49.14""N 79°55'9.21""W"
"C225_Clap1"	"C-073-001-000-23A"	"C-073"	"Clappison Woods"	"43°19'09.9""N 79°53'52.3""W"
"C226_Clap2"	"C-073-002-000-23A"	"C-073"	"Clappison Woods"	"43°19'08.0""N 79°53'58.6""W"
"C227_Clap3"	"C-073-003-000-23A"	"C-073"	"Clappison Woods"	"43°19'08.3""N 79°53'59.6""W"
"C-102-002-000-17A"	"C-102-002-000-17A"	"C-102"	"Dane 2"	"42°45'31.44""N 80°18'52.8""W"
"C-102-004-000-17A"	"C-102-004-000-17A"	"C-102"	"Dane 2"	"42°45'31.68""N 80°18'52.98""W"
"C-105-001-000-17A"	"C-105-001-000-17A"	"C-105"	"Dane 5 (Harrow)"	"42°02'10.2""N 82°51'47.22""W"
"C-105-004-000-17A"	"C-105-004-000-17A"	"C-105"	"Dane 5 (Harrow)"	"42°02'10.14""N 82°51'45.42""W"
"C-105-007-000-17A"	"C-105-007-000-17A"	"C-105"	"Dane 5 (Harrow)"	"42°01'8.58""N 82°49'29.04""W"
"C-109-001-000-17A"	"C-109-001-000-17A"	"C-109-1"	"Dane 9-1 (1,2)"	"42°50'6.36""N 80°47'5.58""W"
"C-109-005-000-17A"	"C-109-005-000-17A"	"C-109-2"	"Dane 9-2 (3-20)"	"42°48'51.96""N 80°46'0.24""W"
"C-109-013-000-17A"	"C-109-013-000-17A"	"C-109-2"	"Dane 9-2 (3-20)"	"42°48'51.9""N 80°46'0.12""W"
"C-109-020-000-17A"	"C-109-020-000-17A"	"C-109-2"	"Dane 9-2 (3-20)"	"42°48'52.32""N 80°46'1.68""W"
"C-109-026-000-17A"	"C-109-026-000-17A"	"C-109-3"	"Dane 9-3 (21-31)"	"42°50'53.04""N 80°45'1.8""W"
"C-109-029-000--17A"	"C-109-029-000-17A"	"C-109-3"	"Dane 9-3 (21-31)"	"42°50'50.92""N 80°45'1.32""W"
