"","taxon","total_area_t0","median_latitude_t0","mean_latitude_t0","sd_latitude_t0","ssp30_contraction","ssp30_expansion","ssp30_stable","ssp30_total","ssp50_contraction","ssp50_expansion","ssp50_stable","ssp50_total","ssp70_contraction","ssp70_expansion","ssp70_stable","ssp70_total","median_latitude_ssp30_tssp30","median_latitude_ssp50_tssp50","median_latitude_ssp70_tssp70","mean_latitude_ssp30_tssp30","mean_latitude_ssp50_tssp50","mean_latitude_ssp70_tssp70","sd_latitude_ssp30_tssp30","sd_latitude_ssp50_tssp50","sd_latitude_ssp70_tssp70"
"1","fus",59162.9194489099,47.3541666666667,47.3789081733136,2.19848352557648,13219.7079928036,113805.048109822,45943.2114561063,159748.259565928,18206.521896441,161668.142568456,40956.3975524689,202624.540120925,24424.4115088701,233516.267372732,34738.5079400398,268254.775312772,52.5208333333333,53.6041666666667,55.2708333333333,52.1765580726803,53.3348700887199,54.8071330360031,3.83325667299964,3.86894392092242,3.80657121080176
"2","cor",150800.701051972,41.1041666666667,41.2925410421128,1.35403254755877,134827.071393008,273846.047564432,15973.6296589645,289819.677223397,150800.701051972,222019.891482475,0,222019.891482475,150800.701051972,181103.092777683,0,181103.092777683,44.3541666666667,46.3958333333333,50.4791666666667,44.2263911040227,46.2992358322178,50.3660858662422,1.56659672246338,1.77541904972094,2.4564248815805
"3","ion",285207.037623088,40.6041666666667,40.7374310312024,1.53604922395625,156043.41641889,416452.372286156,129163.621204198,545615.993490354,258376.51846467,913865.847208545,26830.5191584176,940696.366366962,285207.037623088,1169934.61803341,0,1169934.61803341,44.0208333333333,49.7291666666667,50.7708333333333,44.5265798952194,49.164055881151,50.8008975871864,3.08363657403119,2.77065292039239,2.5110998225845
"4","ang",319716.400915648,32.0625,32.3879087373509,1.60082754066654,278302.72853349,13441.0083105004,41413.6723821583,54854.6806926587,295045.835407507,30910.9239572938,24670.565508141,55581.4894654348,307447.816480405,53010.0910247437,12268.5844352433,65278.675459987,35.2708333333333,46.8958333333333,47.7291666666667,37.4503264684629,42.4212424328415,47.1901070659838,4.904680975317,6.34668298415358,6.27880418410359
"5","chl",609700.331663591,40.3541666666667,39.3985026183228,3.46964234808331,454536.019095959,1045322.94647803,155164.312567632,1200487.25904566,553678.275948714,1867470.40813838,56022.0557148771,1923492.46385326,601455.072712369,2577459.77806433,8245.25895122198,2585705.03701556,44.7708333333333,47.6041666666667,50.5625,44.7984376786372,47.6547885000966,50.5238075727457,2.52781739986674,2.95727871664893,3.40483644824611
