"","taxon","total_area_t0","median_latitude_t0","mean_latitude_t0","t1_contraction","t1_expansion","t1_stable","t2_contraction","t2_expansion","t2_stable","t3_contraction","t3_expansion","t3_stable","median_lat_t1_tt1","median_lat_t2_tt2","median_lat_t3_tt3","mean_lat_t1_tt1","mean_lat_t2_tt2","mean_lat_t3_tt3"
"1","fus",855797.701188324,22.6041666666667,26.0324986636376,39180.9845323452,209905.78241713,816616.716655979,73165.0902563034,235034.063339885,782632.61093202,103995.176647409,300747.978612001,751802.524540914,28.2708333333333,29.0625,30.0208333333333,31.0799676239722,33.0386279882899,36.1887172151069
"2","cor",157081.684333411,41.0625,41.2673886032562,134386.243829413,349072.845990091,22695.4405039982,157081.684333411,317485.780831877,0,157081.684333411,265400.614798559,0,44.5625,46.0208333333333,49.4375,44.475077383409,46.1267918622848,49.3524137855195
"3","ion",307738.794588685,40.7291666666667,40.7605416512501,152826.413807458,451965.721062745,154912.380781227,264031.820129849,989595.386480275,43706.9744588355,307738.794588685,1340144.13068964,0,44.2291666666667,49.8541666666667,51.1875,44.76258520277,49.2803351954675,51.3468718457764
"4","ang",473318.79043811,33.2291666666667,35.0809084522665,327642.59769123,160297.977816474,145676.19274688,362797.161083294,320485.55419008,110521.629354816,410629.592359746,388327.084709552,62689.1980783641,40.375,42.3958333333333,44.3541666666667,43.7104401692184,45.51014894354,47.4587942271881
"5","chl",630584.257214664,40.4375,39.6410679982537,472973.14048886,1029841.95158184,157611.116725804,569165.337566711,1838028.28530819,61418.9196479531,622765.736616199,2663268.89418293,7818.52059846526,44.6458333333333,47.4375,50.5208333333333,44.5729053844964,47.4475321221817,50.5643052679568
