"","taxon","total_area_t0","median_latitude_t0","mean_latitude_t0","sd_latitude_t0","t1_contraction","t1_expansion","t1_stable","t2_contraction","t2_expansion","t2_stable","t3_contraction","t3_expansion","t3_stable","median_latitude_t1_tt1","median_latitude_t2_tt2","median_latitude_t3_tt3","mean_latitude_t1_tt1","mean_latitude_t2_tt2","mean_latitude_t3_tt3","sd_latitude_t1_tt1","sd_latitude_t2_tt2","sd_latitude_t3_tt3"
"1","fus",776645.941759212,22.1875,25.8878441615309,8.54978244608345,41933.2117580305,182143.091851272,734712.730001182,72967.8163279542,209487.0773593,703678.125431258,144946.006438868,271109.402481045,631699.935320344,27.0625,28.0625,29.9791666666667,30.9619231797319,33.0041604611791,36.8434172977719,13.0605702913135,14.5106073145224,16.1022155775053
"2","cor",150816.516845731,41.1041666666667,41.2926859187096,1.35403246057239,134842.887186767,276040.547951874,15973.6296589645,150816.516845731,234172.823842948,0,150816.516845731,223099.336792454,0,44.3541666666667,46.4791666666667,50.5625,44.2523480213772,46.4796621023338,50.5037905500705,1.60210375574479,1.96327145325224,3.01583306652151
"3","ion",287342.43767045,40.6041666666667,40.6173732058773,2.18538935613012,157967.9766673,419218.104371953,129374.461003149,260492.081668324,916164.860176657,26850.3560021255,287342.43767045,1183731.13649223,0,44.0625,49.7291666666667,50.8125,44.4838087092119,49.127186110365,50.884741429396,3.25033857639476,2.94980082802487,2.83480863947388
"4","ang",439928.55978936,32.8541666666667,34.8140091680296,5.30775152068103,322969.274755809,165637.467458667,116959.285033551,353139.58484164,318434.299271058,86788.9749477202,391315.181594774,394614.932582101,48613.3781945859,42.6041666666667,43.9791666666667,47.5625,44.9162653200989,46.5818502365731,48.3748084658111,8.13019094717226,8.43777441767933,8.37425755596925
"5","chl",611545.141503719,40.3541666666667,39.4145445022396,3.47775177500978,454834.844074097,1063958.0318248,156710.297429622,555430.146651967,1921457.93067664,56114.9948517519,603237.98372861,2783367.8796821,8307.15777510863,44.8125,47.7291666666667,50.7708333333333,44.8781705215052,47.7790592921561,50.8964043895648,2.61339194965357,3.07120093268263,3.73142556154655
