accID,Latitude,Longitude,VERBATIM_DATE,Terrell_Notes
CA17-67,55.10062512,-128.0571149,2017-07-22,Recalculated coords from UTM
CA17-82,55.02229227,-128.3127599,2007-06-06,Recalculated coords from UTM
CA17-97,49.28504966,-121.9078,2017-08-21,"UTM 9  places occurence in the Pacific Ocean, CHANGED TO UTM 10 following occurrences with similar latitudes"
CA17-21,54.44450099,-128.7618783,2017-07-12,Recalculated coords from UTM
CA17-51,55.30323588,-127.6706718,2017-07-18,Recalculated coords from UTM
CA17-19,54.44461655,-128.7612299,2017-07-12,Recalculated coords from UTM
CA17-47(1),55.32998422,-128.1019136,2017-07-16,Recalculated coords from UTM
CA17-63,55.08939171,-127.8320512,2017-07-22,Recalculated coords from UTM
CA17-73,53.65263139,-129.3521504,2017-06-03,Recalculated coords from UTM
CA17-65,55.09912358,-128.0443305,2017-07-22,Recalculated coords from UTM
CA17-53,55.33002868,-128.1018496,2017-07-18,Recalculated coords from UTM
CA17-64,55.08935472,-127.8319426,2017-07-22,Recalculated coords from UTM
CA17-75,53.65263139,-129.3521504,2017-06-03,Recalculated coords from UTM
CA17-03,54.41376943,-128.5212608,2017-07-10,Recalculated coords from UTM
CA17-05,54.41392325,-128.521521,2017-07-10,Recalculated coords from UTM
CA17-74,53.65263139,-129.3521504,2017-06-03,Recalculated coords from UTM
CA17-83,55.0019093,-128.3335262,n/a,Recalculated coords from UTM
CA17-17,54.44351704,-128.7689001,2017-07-12,Recalculated coords from UTM
CA17-10,54.38073947,-128.6194291,2017-07-11,Recalculated coords from UTM
CA17-89,54.58696618,-128.6604349,2007-05-24,Recalculated coords from UTM
CA17-22,54.49948248,-128.5495516,2017-07-12,Recalculated coords from UTM
CA17-88,54.58696618,-128.6604349,2007-05-24,Recalculated coords from UTM
CA17-72,53.65263139,-129.3521504,2017-06-03,Recalculated coords from UTM
CA17-52,55.30251925,-127.6708848,2017-07-18,Recalculated coords from UTM
CA17-62,55.37085512,-127.7010229,2017-07-21,Recalculated coords from UTM
CA17-07,54.38074005,-128.6196139,2017-07-11,Recalculated coords from UTM
CA17-92,54.58696618,-128.6604349,2007-05-24,Recalculated coords from UTM
CA17-20,54.44476936,-128.7612445,2017-07-12,Recalculated coords from UTM
CA17-90,54.58696618,-128.6604349,2007-05-24,Recalculated coords from UTM
CA17-13,54.46246481,-128.715369,2017-07-12,Recalculated coords from UTM
CA17-91,54.58696618,-128.6604349,2007-05-24,Recalculated coords from UTM
CA17-31,54.56204415,-128.4619496,2017-07-13,Recalculated coords from UTM
CA17-04,54.4137245,-128.5212613,2017-07-10,Recalculated coords from UTM
CA17-50,55.34798443,-127.684266,2017-07-18,Recalculated coords from UTM
BCVE37,53.6346,-129.300261,,
Mfusca054,44.6145003,-123.6304099,,
ALA37,60.18125,-142.759467,2005-08-10,
